GRU_pre_down_1step,GRU_pre_down_2step,GRU_pre_down_4step,GRU_pre_up_1step,GRU_pre_up_2step,GRU_pre_up_4step,real_down_1step,real_down_2step,real_down_4step,real_up_1step,real_up_2step,real_up_4step,TCN_pre_up_1step,TCN_pre_up_2step,TCN_pre_up_4step,TCN_pre_down_1step,TCN_pre_down_2step,TCN_pre_down_4step,LTSM_pre_down_1step,LTSM_pre_down_2step,LTSM_pre_down_4step,LTSM_pre_up_1step,LTSM_pre_up_2step,LTSM_pre_up_4step
43.225334,245.10217,428.50815,539.9595,265.37082,14.031501,30,279,438,570,309,12,567.23694,330.5225,4.997617,43.604847,286.63113,452.03568,-49.202557,188.50066,382.8774,469.04523,262.14,-17.838879
43.330162,232.09947,434.77493,546.6146,271.44016,10.198341,46.28,278.568,438,553.72,321,0,530.5647,342.87042,4.122759,45.719353,300.93292,402.93878,-40.01584,171.09958,386.71832,467.10294,279.25836,-18.366194
66.80669,232.09947,434.77493,520.8787,271.44016,10.198341,42.196,278.568,438,557.804,321,0,542.0037,342.87042,4.122759,60.730247,300.93292,402.93878,-29.964474,171.09958,386.71832,448.10648,279.25836,-18.366194
78.16653,174.7756,434.77493,517.51843,326.06918,10.198341,10.866,201,438,589.134,321.432,0,555.02155,335.1525,4.122759,43.56454,229.54616,402.93878,-19.599655,150.74792,386.71832,442.05725,295.0823,-18.366194
83.31695,174.7756,434.77493,516.5592,326.06918,10.198341,76.28,201,438,523.72,321.432,0,548.8067,335.1525,4.122759,52.82886,229.54616,402.93878,-13.802949,150.74792,386.71832,437.92902,295.0823,-18.366194
142.25624,148.20956,445.13522,455.91138,353.34354,11.820978,106.776,177.56,417,493.224,378,0,487.15527,351.02277,8.459091,142.50458,182.08974,468.10834,2.9093769,110.85195,397.4117,400.15723,339.86816,-20.34631
165.15533,148.20956,445.13522,450.93488,353.34354,11.820978,148.866,177.56,417,451.134,378,0,510.55276,351.02277,8.459091,110.06438,182.08974,468.10834,22.722675,110.85195,397.4117,394.50198,339.86816,-20.34631
175.06514,69.398186,445.13522,447.3633,452.72037,11.820978,129.64,79.046,417,470.36,422.44,0,454.1961,374.78595,8.459091,127.59597,63.661613,468.10834,33.2877,74.73727,397.4117,390.425,367.38577,-20.34631
166.46669,69.398186,445.13522,458.173,452.72037,11.820978,107.928,79.046,417,492.072,422.44,0,483.99872,374.78595,8.459091,139.54762,63.661613,468.10834,35.509106,74.73727,397.4117,391.94574,367.38577,-20.34631
213.55022,44.63788,447.60364,403.77835,489.96027,14.817105,200.856,48.31,519,399.144,456.054,0,408.5401,474.80554,5.4611955,184.3121,34.958096,557.4601,48.18156,24.047695,405.7089,360.49707,435.87045,-20.665243
183.60915,44.63788,447.60364,445.47818,489.96027,14.817105,112.2,48.31,519,487.7,456.054,0,510.10995,474.80554,5.4611955,165.27924,34.958096,557.4601,51.55446,24.047695,405.7089,380.04977,435.87045,-20.665243
175.00253,35.446426,447.60364,448.453,498.40646,14.817105,109.35,15,519,490.55,483.84,0,495.23395,438.99622,5.4611955,121.8485,15.80192,557.4601,45.036655,-15.188579,405.7089,380.07242,461.23615,-20.665243
167.92758,35.446426,447.60364,453.71146,498.40646,14.817105,146.63,15,519,453.27,483.84,0,503.89612,438.99622,5.4611955,127.329475,15.80192,557.4601,40.43285,-15.188579,405.7089,378.9548,461.23615,-20.665243
170.44138,38.094307,452.08923,448.64084,486.25616,18.136572,89.294,15,519,510.606,465,0,495.57993,442.25647,4.5509396,127.75461,15.696277,556.354,38.65569,-39.621532,412.2077,375.0162,475.85507,-20.006403
199.49203,38.094307,452.08923,415.6095,486.25616,18.136572,214.662,15,519,385.238,465,0,442.424,442.25647,4.5509396,223.20857,15.696277,556.354,45.818214,-39.621532,412.2077,358.6574,475.85507,-20.006403
207.8432,38.113842,452.08923,412.58508,479.33893,18.136572,220.35,51,519,379.55,456,0,441.80014,470.9111,4.5509396,246.81815,20.027044,556.354,52.06804,-52.97635,412.2077,356.92398,482.9755,-20.006403
240.30363,38.113842,452.08923,376.69354,479.33893,18.136572,215.638,51,519,383.062,456,0,353.94418,470.9111,4.5509396,270.2853,20.027044,556.354,60.264412,-52.97635,412.2077,341.07123,482.9755,-20.006403
83.35847,43.22023,444.71033,561.38403,457.7562,18.467295,0,39,519,600,477,0,601.4789,436.59564,5.170605,-1.6546614,29.719288,569.4238,8.941844,-60.6407,410.82526,416.554,492.60037,-14.547057
59.5201,43.22023,444.71033,577.4489,457.7562,18.467295,0,39,519,600,477,0,589.14557,436.59564,5.170605,-0.9872284,29.719288,569.4238,-41.82611,-60.6407,410.82526,444.17072,492.60037,-14.547057
48.24717,3.957088,444.71033,561.3875,476.28107,18.467295,0,0,519,600,516,0,598.09576,509.1195,5.170605,-1.6025517,-0.9057764,569.4238,-68.95219,-62.771587,410.82526,461.1697,489.16245,-14.547057
24.292639,3.957088,444.71033,566.3998,476.28107,18.467295,0,0,519,600,516,0,600.4429,509.1195,5.170605,-2.1673222,-0.9057764,569.4238,-85.08068,-62.771587,410.82526,478.16553,489.16245,-14.547057
0.2966841,-5.6532946,437.65396,573.464,486.8176,28.019407,0,0,519,600,516,0,584.0947,499.41095,5.508399,-3.4457312,0.030422956,552.231,-96.06346,-74.77873,404.6594,488.74237,508.9967,-5.5677137
-21.38447,-5.6532946,437.65396,579.9222,486.8176,28.019407,0,0,519,600,516,0,585.19006,499.41095,5.508399,-1.3074037,0.030422956,552.231,-102.88274,-74.77873,404.6594,493.11905,508.9967,-5.5677137
-39.21438,-7.0945807,437.65396,585.452,466.91934,28.019407,0,0,519,600,516,0,598.9465,511.96082,5.508399,-1.6025294,0.65700483,552.231,-106.17948,-82.55232,404.6594,494.84628,512.1532,-5.5677137
-53.128098,-7.0945807,437.65396,589.4564,466.91934,28.019407,0,0,519,600,516,0,596.1869,511.96082,5.508399,-0.684103,0.65700483,552.231,-106.89733,-82.55232,404.6594,496.57495,512.1532,-5.5677137
-63.79798,1.0826572,388.10376,591.93396,465.1541,40.514763,0,0,244.15,600,516,0,594.06683,541.1646,8.93525,-0.56368184,0.19175112,316.2271,-106.03247,-84.1202,318.94324,499.7929,512.0974,4.7799673
-71.92314,1.0826572,388.10376,593.0497,465.1541,40.514763,0,0,244.15,600,516,0,595.26825,541.1646,8.93525,0.21296628,0.19175112,316.2271,-104.47613,-84.1202,318.94324,505.18604,512.0974,4.7799673
-78.10027,0.4678899,388.10376,593.0406,472.07983,40.514763,0,0,244.15,600,516,0,600.05963,551.56055,8.93525,0.12546591,0.4586365,316.2271,-102.8922,-84.712906,318.94324,512.82135,514.23193,4.7799673
-82.795456,0.4678899,388.10376,592.1663,472.07983,40.514763,0,0,244.15,600,516,0,595.4025,551.56055,8.93525,0.5420342,0.4586365,316.2271,-101.672485,-84.712906,318.94324,522.37585,514.23193,4.7799673
-14.302581,-3.332674,278.2529,529.2451,479.9973,48.06752,28.8,0,217.15,538.75,516,0,538.4254,539.17224,21.741156,25.42579,-0.13394617,163.43246,-90.7005,-86.42189,246.03745,485.7365,515.57916,12.7078905
-55.206863,-3.332674,278.2529,575.9003,479.9973,48.06752,0.85,0,217.15,599.15,516,0,601.35864,539.17224,21.741156,1.8011447,-0.13394617,163.43246,-85.22665,-86.42189,246.03745,491.0441,515.57916,12.7078905
-73.994125,-8.318127,278.2529,609.3006,486.71677,48.06752,0.85,0,217.15,599.15,516,0,589.9792,504.37186,21.741156,0.15894212,-0.05534962,163.43246,-85.82575,-88.47024,246.03745,492.253,515.78906,12.7078905
-71.6558,-8.318127,278.2529,609.1356,486.71677,48.06752,0.45,0,217.15,599.15,516,0,596.66797,504.37186,21.741156,-0.7364709,-0.05534962,163.43246,-83.73309,-88.47024,246.03745,497.48022,515.78906,12.7078905
-59.892735,-12.849275,215.77786,591.3669,491.2384,64.8244,0.4,0,193.55,594.75,516,63.36,595.0911,496.74414,123.955956,0.04578419,-0.025744736,142.98578,-79.52036,-90.09052,209.45071,506.69012,516.0986,27.314165
-44.11348,-12.849275,215.77786,572.49524,491.2384,64.8244,0.85,0,193.55,599.15,516,63.36,593.64795,496.74414,123.955956,-0.41485614,-0.025744736,142.98578,-75.899826,-90.09052,209.45071,521.1445,516.0986,27.314165
-22.070105,-16.246252,215.77786,549.288,493.77805,64.8244,1.7,0,193.55,598.3,516,63.36,591.37756,500.54523,123.955956,0.66882557,-0.3208503,142.98578,-74.19992,-91.12396,209.45071,534.5674,516.9304,27.314165
5.2460723,-16.246252,215.77786,528.576,493.77805,64.8244,0,0,193.55,0,516,63.36,596.58624,500.54523,123.955956,0.7051516,-0.3208503,142.98578,-74.31813,-91.12396,209.45071,547.3573,516.9304,27.314165
